Dates,Prec,ETP,Q_obs
09/02/1968,    1.6791,4.0083240848,2.5169999599
10/02/1968,    0.0093,4.2022268642,2.4979999065
11/02/1968,    0.0000,3.8263468603,2.3819999695
12/02/1968,    0.0000,4.9323677998,2.3629999161
13/02/1968,    0.0000,4.36130758,2.3440001011
14/02/1968,    0.0000,3.7968067899,2.2279999256
15/02/1968,    0.0000,4.5860232338,2.2090001106
16/02/1968,    0.0000,4.28837418,2.2090001106
17/02/1968,    0.3731,5.0359574594,2.2090001106
18/02/1968,   15.2791,4.1918338295,2.5099999905
19/02/1968,    0.0000,3.0329186097,4.2690000534
20/02/1968,    0.0000,4.2350554634,4.2569999695
21/02/1968,    0.8711,4.6208206285,4.0520000458
22/02/1968,    1.0816,4.8813532013,3.8519999981
23/02/1968,    6.0906,4.1804277562,3.4749999046
24/02/1968,    0.1633,4.7810091991,2.8740000725
25/02/1968,    0.0000,4.6712044403,2.5169999599
26/02/1968,    0.0000,5.1903039794,2.2479999065
27/02/1968,    1.2939,4.74509665,2.2669999599
28/02/1968,    0.0000,5.2962881513,2.5750000477
29/02/1968,    0.0000,4.7220441476,2.3819999695
01/03/1968,    0.0000,4.3062907923,2.2090001106
02/03/1968,    0.0358,3.8982496206,2.0729999542
03/03/1968,    3.8548,3.8670778917,2.0350000858
04/03/1968,    0.0782,3.789038768,1.9019999504
05/03/1968,    0.4950,4.6114383303,1.7819999456
06/03/1968,    0.0000,5.0058099199,1.7480000257
07/03/1968,    1.1593,4.9410585705,1.6469999552
08/03/1968,    8.5555,4.2656865809,1.6299999952
09/03/1968,    3.3646,5.1313559506,1.6299999952
10/03/1968,    0.4647,5.7094263714,1.6130000353
11/03/1968,    0.0000,5.4448680412,1.5119999647
12/03/1968,    0.3428,5.3405574691,1.4950000048
13/03/1968,    2.8406,3.7934852662,1.4950000048
14/03/1968,    0.0000,4.6447146814,1.4950000048
15/03/1968,    1.3243,4.8116717506,1.4950000048
16/03/1968,    1.6969,4.2601627707,1.9379999638
17/03/1968,    4.9717,4.2801827993,4.5419998169
18/03/1968,    0.8777,5.0071356911,4.623000145
19/03/1968,    0.0514,4.8897770792,4.2119998932
20/03/1968,    2.2831,4.0017355289,3.6949999332
21/03/1968,    0.0315,4.14889968,3.1459999084
22/03/1968,    2.0640,5.1119328998,2.5199999809
23/03/1968,    5.6533,4.8122391831,1.925999999
24/03/1968,    0.8084,5.1803208701,1.692999959
